Title,Collection,MediaType,PhysicalFormat,Generations,DateofOriginalWork,Description
"Holly Near - Singer, Activist - Original",SD_07_02,Moving Image,3/4 inch videotape: U-matic,Original,1980,Holly Near is a popular feminist folksinger. Images of the singer performing at the Vancouver Folk Festival
"MS - Mother's Day, 1980",SD_07_02,Moving Image,3/4 inch videotape: U-matic,Original,1980-08-18,"This tape documents the events during a Mothers Day Festival organized by a coalition of East Vancouver women s groups. Wages for housework, senior citizens, lesbian mothers and working mothers in the female job Ghetto of low-paying and menial jobs are examined and actions discussed."
Hardly an Ending - MS - Original,SD_07_02,Moving Image,3/4 inch videotape: U-matic,Original,,
TWU - BC Tel - DOBS,SD_07_02,Moving Image,3/4 inch videotape: U-matic,,1981,"For five days in February 1981, the employees of the Tele-Communications Workers Union occupied the major telephone centres of BC and ran the province’s telephone services without help from management. This action was a response to layoffs of workers after 14 months of negotiations and BC Tel’s rejection of a mediator’s report. Operators and union spokespeople discuss the issues of the strike, their over-supervised work conditions, public support of the occupation of BC. Tel centres and the improving morale of operators as they administered themselves."
Tatsyana Mamanova - Russian Feminist - MS - Original,SD_07_02,Moving Image,3/4 inch videotape: U-matic,Original,1981,"I have come to the conclusion that men have tried to achieve Socialism and they have not been able to achieve this. (TM) In 1980 several women in the Soviet Union published a feminist journal, Almanac . She was exiled for her comments on women s oppression in Russia. This lecture was part of her North American tour."
Tape #7 - Amelia,SD_07_02,Moving Image,3/4 inch videotape: U-matic SP,,1981-07-26,"In July 1981, one hundred aboriginal women and their children occupied the Department of Indian Affairs in Vancouver B.C., to bring national attention to the destructive effects of DIA policies on their bands and on their entire people. This tape covers their occupation, arrest and later support activity."
Tape #8,SD_07_02,Moving Image,3/4 inch videotape: U-matic SP,,,"In July 1981, one hundred aboriginal women and their children occupied the Department of Indian Affairs in Vancouver B.C., to bring national attention to the destructive effects of DIA policies on their bands and on their entire people. This tape covers their occupation, arrest and later support activity."
Women Speak Out Against the Right - MS,SD_07_02,Moving Image,3/4 inch videotape: U-matic,Original,1982-03,"A panel at the 1981 National Lesbian Conference discusses the attempts of the New Right to blame the ills of this society on the breakdown of the family (the fault of queers), immigration (the fault of immigrants), and abortion (the fault of the women’s movement). They also discuss attempts that have been made to combat the New Right. This workshop sparked the formation of many new Lesbians Against the Right groups across Canada."
"International Women's Day, 1982 - MS",SD_07_02,Moving Image,3/4 inch videotape: U-matic,Original,1982-03-31,
Union Rights = Mothers' Rights CUPW - 1981 - TWU Tel - 1981,SD_07_02,Moving Image,VHS,,,"One of the central issues in the 1981 postal strike was the right of female employees to full maternity benefits. Prioritizing a women s contract clause required membership education and support. This video examines childbearing as one of several issues, such as daycare, shift scheduling and paternity leave; that working women and men face. Through interviews and strike documentation, the video follows the fight for full maternity benefits. // For five days in February 1981, the employees of the Tele-Communications Workers Union occupied the major telephone centres of BC and ran the province’s telephone services without help from management. This action was a response to layoffs of workers after 14 months of negotiations and BC Tel’s rejection of a mediator’s report. Operators and union spokespeople discuss the issues of the strike, their over-supervised work conditions, public support of the occupation of BC. Tel centres and the improving morale of operators as they administered themselves."
T.W.U Tel - Amelia Productions - Billie Carrol - Sarah Davidson - Sara Diamond - Ellen Frank - Gay Hawley,SD_07_02,Moving Image,VHS,,,
"TWU Tel / This Line is Not in Service - Amelia Productions, 1981",SD_07_02,Moving Image,3/4 inch videotape: U-matic,,,
"TWU Tel - 8:56 - color MONO - This Line is Not in Service - 25:25 - color MONO - Amelia Productions, 1981",SD_07_02,Moving Image,VHS,,,
Union Rights = Mothers' Rights CUPW - 1981 - Amelia Productions - Sara Diamond/Gay Hawley - 27 minutes,SD_07_02,Moving Image,,,,
